run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c
3744,32,96,16,1,0,1,1,1,1,1,1,1,1,0,1,193.7458086,310.2091369,212.6955861,6.54937088,23.28969067,24.83489803,193.2070305,310.7276905,212.2730768,8.921291637,22.65385016,23.3713755,1.46131188,-18.20544422,16.73960431,-1.490876167,17.91014565,-16.42299
3745,32,96,16,1,0,1,1,1,1,1,1,1,1,1,0,197.9319336,301.037637,208.2921349,68.92745573,73.30364116,37.39264919,200.1022134,307.2752558,201.1204017,70.16915488,73.39540807,30.74665811,47.10074168,-47.56091054,0.4619411172,-47.31869131,47.61125679,-0.2906888981
3746,32,96,16,1,1,0,1,1,1,1,1,1,1,1,1,203.8465438,298.9201044,204.4180786,8.848829348,3.999900493,9.375315185,203.8396645,298.4044013,207.0814253,5.280324134,5.457209009,11.01940519,-5.13758193,-1.365376394,6.503159128,5.047301249,1.361481838,-6.408593049
3747,32,96,16,1,1,0,1,1,1,0,1,1,1,1,1,203.4769717,298.0503752,206.2784397,6.787250126,7.919259141,7.616301985,204.0902346,297.1704555,208.9468337,3.343641075,7.944383094,10.90591906,1.562586415,-6.707989463,5.145593339,-1.536886958,6.732073554,-5.195002805
3748,32,96,16,1,1,0,1,1,1,1,0,1,1,1,1,203.9414435,298.8481686,204.4217572,9.036251912,4.023038466,9.479473303,203.9267129,298.3180792,207.1180046,5.496087099,5.499353678,11.15416574,-5.366394939,-1.281359082,6.647961726,5.272695098,1.276929097,-6.549412667
3749,32,96,16,1,1,0,1,1,1,1,1,0,1,1,1,332.287206,340.4457202,292.1696007,18.53268139,13.73542197,18.70579131,333.0367796,342.036937,294.2339617,17.94570325,14.38960915,17.21006728,-7.460822541,0.07701197806,7.388710906,1.225886435,-3.550289007,2.329426946
3750,32,96,16,1,1,0,1,1,1,1,1,1,0,1,1,204.1363588,300.3825364,201.8040741,32.19605716,6.065441051,36.91757533,204.6417689,300.5390532,203.0779448,32.08210877,6.061132501,36.72590704,-30.57196356,-3.557294874,34.1293344,30.44897063,3.538840302,-33.98771206
3751,32,96,16,1,1,0,1,1,1,1,1,1,1,0,1,210.2127364,294.2996921,205.6269604,61.67056283,28.02720841,59.35728755,203.6187733,300.7075058,203.5171192,60.41438177,30.63564348,55.55726977,-41.05703503,1.837787537,39.2193262,40.6449554,-1.944833348,-38.70003843
3752,32,96,16,1,1,0,1,1,1,1,1,1,1,1,0,202.2308072,299.6385031,205.4278083,16.54441497,13.84160696,12.4875812,200.6596497,301.6883895,206.1098282,15.21659202,15.53909584,4.502018794,11.7979934,-9.766833759,-2.030966485,-11.85605957,9.8184186,2.03785103
3753,32,96,16,1,1,1,0,1,1,1,1,1,1,1,1,203.8506531,298.9183534,204.4187145,8.852278979,4.00423608,9.376796427,203.8462633,298.40026,207.0840226,5.290998866,5.458446641,11.02970175,5.147017816,1.364375893,-6.5111705,-5.057097794,-1.361363239,6.418687618
3754,32,96,16,1,1,1,0,1,1,0,1,1,1,1,1,203.933996,298.8556332,204.4153817,9.058600934,4.023845374,9.513873573,203.9220501,298.3255922,207.1109338,5.547515879,5.497723415,11.18791873,5.418795618,1.281630221,-6.700251851,-5.32495871,-1.278129379,6.603266664
