run_id,f1,f2,P1,P2,Q1,Q2,wall_s,ok
4239,49.98097513,49.97784915,4096.878736,4120.103641,943.611898,-374.0819364,3.693358,1
4240,49.98797081,49.98796468,2408.806394,2404.579038,37.47931149,-73.43568755,3.7850538,1
4241,49.98420922,49.98463484,3144.408124,3029.269568,200.1323447,-8.189381531,3.7709694,1
4242,49.9886428,49.98865273,2272.794683,2267.958627,23.53525004,-86.69711867,3.7390252,1
4243,49.98864683,49.98864572,2273.14602,2268.263551,28.18710329,-84.14962279,3.8118722,1
4244,49.98801294,49.98883998,2399.938817,2220.318669,41.73859745,-80.81476892,3.7977608,1
4245,49.98338676,49.98311626,3288.34708,3359.058167,147.6263475,146.6280503,3.7783168,1
4246,49.98795033,49.9879742,2409.933094,2405.199413,37.45000884,-73.23317428,3.7027165,1
4247,49.97773111,49.98126859,4085.586205,4127.751823,936.0502265,-367.1324552,3.6653111,1
4248,49.98864694,49.98864219,2272.544749,2269.490394,22.59815703,-85.81507602,3.7816629,1
4249,49.98499842,49.98585211,2957.165671,2755.108143,165.4641559,-59.66252556,3.7578722,1
4250,49.98867208,49.98866056,2268.917339,2264.393126,23.12750897,-88.11553048,3.8926739,1
4251,49.98491908,49.98685205,2967.342765,2528.71106,111.4142349,-55.08983515,3.8366952,1
4252,49.98856392,49.98862038,2288.981762,2272.283646,30.89466295,-85.0024233,3.7809736,1
4253,49.98472205,49.98427249,3011.996501,3127.946822,92.18513024,78.05806804,3.7821104,1
4254,49.98863884,49.98863872,2276.675865,2268.057512,23.6793375,-90.95764008,3.7445644,1
4255,49.96857836,49.98716778,4537.785539,4320.237528,232.0629754,-211.1290423,3.604684,1
4256,49.98751063,49.98748689,2501.445573,2498.90776,43.38512124,-67.04161206,3.6562092,1
4257,49.98866774,49.98866519,2268.92208,2264.516425,23.04048967,-88.01988488,3.7236798,1
4258,49.98854721,49.98854857,2293.467488,2288.814429,25.53366641,-80.57525455,3.7297296,1
4259,49.98413032,49.98512852,3145.333621,2894.480231,189.2875092,-38.468621,3.7351266,1
4260,49.98865494,49.98864237,2272.06072,2268.28678,22.61086938,-89.81425572,3.705013,1
4261,49.98633256,49.98528324,2662.188421,2886.816685,31.07521696,34.34805141,3.7435597,1
4262,49.98749767,49.98750485,2502.70647,2497.523737,43.5355752,-67.16561117,3.6664551,1
4263,49.96993704,49.98604363,4535.038164,4300.767801,244.8747395,-235.3361246,3.6190251,1
4264,49.98329498,49.98330096,3345.783875,3334.796172,-19.13265939,-221.4947058,3.6846218,1
4265,49.98320128,49.98320283,3364.364838,3354.518677,-28.24994967,-228.6411538,3.6994115,1
4266,49.98319188,49.98321175,3364.887459,3354.14996,-27.86353013,-229.1836087,3.7644161,1
4267,49.98314461,49.9831631,3375.307056,3362.927696,-18.29594094,-220.5651513,3.7153221,1
4268,49.98315741,49.98314971,3372.24996,3366.039498,-19.60686786,-219.2988325,3.6216615,1
4269,49.98316904,49.98317489,3370.318158,3360.579744,-30.94596397,-231.9197488,3.7573392,1
4270,49.98316688,49.98317515,3370.372142,3360.791473,-30.39762906,-232.5174913,3.7182027,1
4271,49.98321257,49.9832186,3362.516951,3351.056109,-29.35409905,-232.6577704,3.6601129,1
4272,49.95777777,49.97829431,6530.457025,6264.668039,-407.598782,-752.4443021,3.5759145,1
4273,49.9812098,49.98121129,3764.216355,3752.875137,33.82917607,-166.7387933,3.6985995,1
4274,49.97605388,49.9764674,4767.721317,4583.25977,255.4873766,-122.44505,3.7018812,1
4275,49.98333239,49.98290758,3342.273237,3411.50159,-22.11779296,-209.8540608,3.703977,1
4276,49.97778031,49.9775137,4367.510001,4444.907907,37.92389569,-30.75591548,3.7372924,1
4277,49.98320989,49.98320392,3363.269941,3353.76494,-30.43599352,-233.8031287,3.9020119,1
4278,49.98323227,49.98320061,3359.774294,3353.669826,-30.16181015,-231.7865462,3.8022769,1
4279,49.98120902,49.98119736,3760.106074,3755.867435,32.98194572,-166.1749592,3.7183521,1
4280,49.95511137,49.98084856,6860.078774,5945.838587,-476.0031037,-677.2123791,3.6713845,1
4281,49.98311176,49.98315628,3382.19502,3364.24562,-14.72311209,-220.0390964,3.8242476,1
4282,49.97560138,49.97564203,4869.495678,4849.841998,276.2330581,-61.9777378,3.7908831,1
4283,49.98322919,49.98318294,3358.194227,3359.611051,-32.26470859,-231.8958592,3.8501217,1
4284,49.9781912,49.97730235,4255.817914,4507.964802,27.92716678,-29.87406308,3.8130808,1
4285,49.98316836,49.98314793,3371.119458,3365.536911,-9.94005064,-212.9432158,3.7756634,1
4286,49.97502531,49.9751206,4944.972646,4940.856136,172.0012025,108.1575048,3.7790247,1
4287,49.98321135,49.98297722,3369.984924,3391.420235,8.162052935,-218.8479734,3.766523,1
4288,49.98228384,49.96177258,5084.067117,6106.409976,-173.3190224,-309.6757399,3.6840901,1
4289,49.98202728,49.98200015,3600.598417,3594.363614,52.49704182,-153.1515366,3.7675727,1
4290,49.9752589,49.97535359,4933.099196,4895.914149,329.132581,-26.57133817,3.7812181,1
4291,49.98309464,49.98310707,3385.615859,3373.853556,-28.08044417,-224.5342611,3.7948075,1
4292,49.98315725,49.98315954,3373.591658,3363.140133,-8.461900511,-214.4165399,3.8493512,1
4293,49.98329147,49.98283915,3375.048913,3397.302014,-2.179203823,-205.7406867,3.7379057,1
4294,49.97484063,49.97479327,5022.915927,5024.204752,184.3984095,134.1596114,3.7276947,1
4295,49.98200918,49.98202196,3599.984083,3593.713898,50.78267212,-151.3230925,3.6984529,1
4296,49.98674281,49.95701193,4038.574881,7165.056194,153.9268947,-613.4135748,3.708034,1
4297,49.98305831,49.98305302,3404.175687,3381.981957,-39.15633291,-207.1608216,3.7997123,1
4298,49.97703489,49.9798476,4464.658211,3849.507336,199.604052,-209.7711568,3.7024767,1
4299,49.98319665,49.98318971,3366.083848,3356.587063,-29.66665493,-233.0653077,3.8260698,1
4300,49.9788725,49.97984721,4147.727841,3908.970266,109.8858185,-202.2693857,3.8257851,1
4301,49.98288432,49.98331648,3429.000294,3342.193829,-24.65566326,-237.1945292,3.8634823,1
4302,49.97585935,49.9755999,4788.44458,4855.750406,151.8404256,96.45816698,3.878318,1
4303,49.98147328,49.98354706,3626.644308,3330.074307,35.59640217,-237.0530864,3.8437081,1
4304,49.94930274,49.98510421,7098.801752,6059.648427,1049.732801,589.2296991,3.6081544,1
4305,49.98245955,49.98245116,3512.839806,3505.121234,-29.13204025,-231.239697,3.708848,1
4306,49.98319274,49.98319303,3366.501661,3356.21965,-30.01035892,-232.6470032,3.736169,1
4307,49.98319739,49.98320074,3364.563757,3355.534309,-28.55754439,-229.1125198,3.7352419,1
4308,49.97747044,49.97806918,4488.019543,4300.664447,186.3692917,-148.1239143,3.7107084,1
4309,49.98374646,49.98206453,3295.663491,3564.798361,7.37615007,-234.442343,3.7463753,1
4310,49.97750141,49.97643,4359.753124,4649.889816,63.1761081,48.80085445,3.6904527,1
4311,49.98246059,49.9824508,3512.859974,3504.831866,-29.27591725,-231.1456645,3.677929,1
4312,49.95874784,49.97618392,6903.189676,6180.530107,1340.636636,270.9346882,3.6096121,1
4313,49.98871623,49.98872398,2258.567212,2253.250429,30.92519959,-79.85965996,3.71494,1
4314,49.98863837,49.9886418,2274.309309,2269.507722,25.87961735,-84.43166388,3.7282338,1
4315,49.98864069,49.98863879,2274.403567,2269.52435,25.69113174,-84.31005254,3.7936827,1
4316,49.9886543,49.98866112,2270.830931,2265.987593,24.07750478,-85.94830495,3.8821576,1
4317,49.98865519,49.98866102,2270.954153,2265.673939,24.32633015,-86.14071303,3.8014391,1
4318,49.98863911,49.98864121,2274.163026,2269.61763,27.56734772,-82.04610596,3.7749235,1
4319,49.98863743,49.9886413,2274.319617,2269.717076,27.7293336,-82.17462903,3.687824,1
4320,49.98864285,49.98864927,2274.097473,2267.325314,28.03085894,-84.0433623,3.8920305,1
4321,49.9826807,49.97658267,3855.557934,4324.2571,16.48174367,497.2557765,3.6694741,1
4322,49.98796653,49.98796246,2410.144373,2403.416532,37.84776812,-73.77345681,3.8091599,1
4323,49.98517134,49.98662243,2920.741795,2592.584881,152.6082482,-81.21039312,3.7802794,1
4324,49.98863857,49.98864214,2273.63901,2270.747995,22.74386575,-86.01917963,3.7083565,1
4325,49.98784718,49.98752254,2407.700306,2414.831385,24.93012342,-50.59850305,3.7126365,1
4326,49.98847472,49.98870979,2304.515735,2259.375281,29.28201281,-81.52846806,3.930397,1
4327,49.98864885,49.98864335,2273.270391,2268.200282,27.85624513,-83.82816922,3.833349,1
4328,49.98795527,49.98796656,2410.985805,2404.670264,37.89925293,-73.58448286,3.719853,1
4329,49.97861422,49.98035544,4046.89552,4168.532313,947.3295331,-377.8170617,3.5791062,1
4330,49.98864437,49.98865212,2273.816602,2266.755329,23.24818453,-86.4070654,3.7682511,1
4331,49.98417297,49.98446737,3153.983009,3071.105943,202.9044574,-0.08409411096,3.70547,1
4332,49.98852661,49.988317,2291.060358,2354.836101,77.2078305,-122.4963109,3.7723316,1
4333,49.98521992,49.98376356,2851.648075,3208.901728,76.24027766,99.63379272,3.6632972,1
4334,49.98866717,49.98866539,2269.045381,2264.382422,22.87556144,-87.86915205,3.7377534,1
4335,49.98802623,49.98623469,2348.338539,2680.002898,-7.297102376,-5.033382264,3.7075293,1
4336,49.98865555,49.98864728,2272.16445,2267.148409,22.46316697,-89.60282957,3.7035184,1
4337,49.96920248,49.98671051,4639.486967,4207.75858,240.0468154,-224.7916592,3.588037,1
4338,49.98751556,49.98749528,2498.906089,2498.783076,42.77367871,-66.55107696,3.7260586,1
4339,49.98385473,49.98424785,3213.030123,3108.446451,208.1462773,-3.36298706,3.8010759,1
4340,49.98859938,49.98857322,2282.164069,2281.877659,24.38073977,-78.5395056,3.8053641,1
4341,49.98866834,49.98866534,2269.617504,2263.585159,23.30926734,-88.23165242,3.7308108,1
4342,49.98864149,49.98863591,2276.261382,2269.106183,23.11380188,-90.43533809,3.9456119,1
4343,49.98451856,49.98418684,3063.281311,3147.401513,101.1092706,82.59521667,3.8730512,1
4344,49.98748977,49.98749985,2502.873231,2498.194824,43.14538923,-66.78905044,3.8093967,1
4345,49.97638097,49.97958073,4436.112482,4398.079348,526.387295,-515.7861285,3.7258726,1
4346,49.98853715,49.98854521,2294.319359,2289.255995,23.73764412,-78.5434371,3.8671676,1
4347,49.98465993,49.98547045,3026.629553,2819.78139,175.8499688,-59.781517,3.7981945,1
4348,49.98864058,49.98863197,2274.849711,2270.587976,31.04434683,-81.62544377,3.7994652,1
4349,49.98788999,49.98901406,2378.626813,2216.206015,37.73538882,-85.65001723,3.7526214,1
4350,49.98844981,49.98853742,2316.090048,2288.689326,16.14931192,-69.68287453,3.8453954,1
4351,49.98374056,49.98344875,3211.645483,3293.936872,122.8772148,120.5266492,3.6897834,1
4352,49.98854565,49.98855008,2293.852024,2287.428034,34.84216806,-86.1237488,3.7627521,1
4353,49.98157157,49.97776646,4299.756478,3805.470824,256.269178,-735.6844055,3.6884214,1
4354,49.98740209,49.98738979,2521.827647,2518.930327,70.95098865,-39.97283479,3.7143756,1
4355,49.98863627,49.98863676,2275.72666,2269.643522,30.5769546,-81.07852201,3.7743008,1
4356,49.98863506,49.98853965,2278.846322,2290.529898,28.76582411,-84.53779347,3.8287034,1
4357,49.98353951,49.98491663,3257.905885,2906.100979,217.9040449,-30.05054265,3.7484463,1
4358,49.98860213,49.98860158,2281.633568,2277.215985,32.63805993,-83.14618089,3.8030582,1
4359,49.98449203,49.98392108,3024.734458,3176.014773,80.83136743,102.5314481,3.7002824,1
4360,49.98739012,49.98740303,2524.191501,2516.06489,71.07760162,-40.15311891,3.7130138,1
4361,49.98269585,49.97641911,3719.874471,4417.874317,252.2704723,-700.3944237,3.762671,1
4362,49.98798095,49.98798289,2406.397921,2400.692547,51.49012899,-73.04176008,3.7092649,1
4363,49.98790058,49.98789168,2422.145708,2419.117892,47.294881,-75.57124282,3.8295517,1
4364,49.98789364,49.98789969,2423.655263,2417.538703,47.54032193,-75.76773748,3.784903,1
4365,49.98789495,49.98790656,2422.695027,2416.937866,45.27284053,-78.19972316,3.7021072,1
4366,49.98790393,49.98789732,2422.094739,2417.516846,45.21237945,-78.17294671,3.7514024,1
4367,49.98790948,49.98791234,2420.475727,2414.988406,45.08929163,-78.44170707,3.8992179,1
4368,49.98791045,49.98791221,2420.562761,2414.765741,45.1840484,-78.5029151,3.7744269,1
4369,49.98789486,49.98789823,2424.571975,2416.741233,50.83722573,-75.2323709,3.7588067,1
